query_id,query_type,deepeval_hallucination,deepeval_geval_correctness
1.0,Faktual,0.0,0.6
2.0,Faktual,0.0,0.6
3.0,Faktual,0.0,0.8
4.0,Ekstraksi,0.0,0.6
5.0,Ekstraksi,0.0,0.6
6.0,Faktual,0.0,0.8
7.0,Ekstraksi,0.0,0.8
8.0,Faktual,0.0,0.7
9.0,Faktual,0.0,0.6
10.0,Faktual,0.0,0.4
11.0,Evaluatif,0.0,0.6
12.0,Faktual,0.0,0.5
13.0,Ekstraksi,0.0,0.6
14.0,Analisis,0.0,0.8
15.0,Faktual,0.0,0.2
16.0,Faktual,0.0,0.8
17.0,Faktual,0.0,0.7
18.0,Analisis,0.0,0.3
19.0,Evaluatif,0.0,0.7
20.0,Analisis,0.0,0.6
21.0,Analisis,0.0,0.6
22.0,Ekstraksi,0.0,0.2
23.0,Faktual,0.0,0.8
24.0,Analisis,0.0,0.7
25.0,Faktual,0.0,0.8
26.0,Faktual,0.0,0.9
27.0,Analisis,0.0,0.8
28.0,Evaluatif,0.0,0.6
29.0,Faktual,0.0,0.7
30.0,Analisis,0.0,0.6
31.0,Ekstraksi,0.0,0.7
32.0,Analisis,0.0,0.8
33.0,Faktual,0.0,0.7
34.0,Faktual,0.0,0.6
35.0,Faktual,0.0,0.6
36.0,Evaluatif,0.0,0.8
37.0,Faktual,0.0,0.4
38.0,Faktual,0.0,0.6
39.0,Faktual,0.0,0.7
40.0,Evaluatif,0.0,0.7
41.0,Faktual,0.0,0.8
42.0,Faktual,0.0,0.8
43.0,Ekstraksi,0.0,0.6
44.0,Analisis,0.0,0.6
45.0,Faktual,0.0,0.8
46.0,Faktual,0.0,0.3
47.0,Analisis,0.0,0.8
48.0,Evaluatif,0.0,0.8
49.0,Faktual,0.0,0.7
50.0,Ekstraksi,0.0,0.3
51.0,Jebakan (out-of-scope/halusinasi),1.0,0.8
52.0,Jebakan (faithfulness/halusinasi),1.0,0.9
53.0,Jebakan (out-of-scope),1.0,0.5
54.0,Jebakan (out-of-scope),1.0,0.3
55.0,Jebakan (halusinasi),1.0,0.6
56.0,Jebakan (out-of-scope),1.0,0.8
57.0,Jebakan (out-of-scope),0.0,0.6
58.0,Jebakan (out-of-scope),1.0,0.8
59.0,Jebakan (faithfulness),1.0,0.6
60.0,Jebakan (halusinasi),1.0,0.8
61.0,Faktual,0.0,0.3
62.0,Faktual,0.0,0.8
63.0,Analisis,0.0,0.8
64.0,Faktual,0.0,0.5
65.0,Faktual,0.0,0.3
66.0,Faktual,0.0,0.3
67.0,Faktual,0.0,0.8
68.0,Analisis,0.0,0.6
69.0,Evaluatif,0.0,0.8
70.0,Evaluatif,0.0,0.8
71.0,Faktual,0.0,0.2
72.0,Faktual,0.0,0.5
73.0,Faktual,0.0,0.7
74.0,Faktual,0.0,0.2
75.0,Faktual,0.0,0.6
76.0,Evaluatif,0.0,0.8
77.0,Analisis,0.0,0.8
78.0,Faktual,0.0,0.3
79.0,Faktual,0.0,0.8
80.0,Faktual,0.0,0.3
81.0,Faktual,0.0,0.8
82.0,Evaluatif,0.0,0.6
83.0,Analisis,0.0,0.8
84.0,Faktual,0.0,0.8
85.0,Faktual,0.0,0.8
86.0,Analisis,0.0,0.6
87.0,Ekstraksi,0.0,0.3
88.0,Faktual,0.0,0.8
89.0,Faktual,0.0,0.8
90.0,Faktual,0.0,0.8
91.0,Faktual,0.0,0.8
92.0,Faktual,0.0,0.6
93.0,Faktual,1.0,0.5
94.0,Faktual,0.0,0.6
95.0,Faktual,0.0,0.2
96.0,Faktual,0.0,0.6
97.0,Faktual,0.0,0.6
98.0,Faktual,0.0,0.6
99.0,Ekstraksi,0.0,0.3
100.0,Faktual,0.0,0.8
